destination,origin,visitor_home_aggregation,end
Bronx,Bronx,26791,2020-11-09
Bronx,Brooklyn,5187,2020-11-09
Bronx,Manhattan,12390,2020-11-09
Bronx,Queens,5313,2020-11-09
Bronx,Staten Island,1084,2020-11-09
Brooklyn,Bronx,782,2020-11-09
Brooklyn,Brooklyn,28350,2020-11-09
Brooklyn,Manhattan,3133,2020-11-09
Brooklyn,Queens,3121,2020-11-09
Brooklyn,Staten Island,1367,2020-11-09
Manhattan,Bronx,35546,2020-11-09
Manhattan,Brooklyn,40059,2020-11-09
Manhattan,Manhattan,130290,2020-11-09
Manhattan,Queens,46451,2020-11-09
Manhattan,Staten Island,8331,2020-11-09
Queens,Bronx,347,2020-11-09
Queens,Brooklyn,1269,2020-11-09
Queens,Manhattan,664,2020-11-09
Queens,Queens,19454,2020-11-09
Queens,Staten Island,95,2020-11-09
Staten Island,Bronx,82,2020-11-09
Staten Island,Brooklyn,982,2020-11-09
Staten Island,Manhattan,126,2020-11-09
Staten Island,Queens,195,2020-11-09
Staten Island,Staten Island,22625,2020-11-09
