destination,origin,visitor_home_aggregation,end
Bronx,Bronx,20305,2020-04-06
Bronx,Brooklyn,3320,2020-04-06
Bronx,Manhattan,3146,2020-04-06
Bronx,Queens,1523,2020-04-06
Bronx,Staten Island,234,2020-04-06
Brooklyn,Bronx,1059,2020-04-06
Brooklyn,Brooklyn,19831,2020-04-06
Brooklyn,Manhattan,1022,2020-04-06
Brooklyn,Queens,1868,2020-04-06
Brooklyn,Staten Island,538,2020-04-06
Manhattan,Bronx,24888,2020-04-06
Manhattan,Brooklyn,19489,2020-04-06
Manhattan,Manhattan,80392,2020-04-06
Manhattan,Queens,16922,2020-04-06
Manhattan,Staten Island,3417,2020-04-06
Queens,Bronx,269,2020-04-06
Queens,Brooklyn,858,2020-04-06
Queens,Manhattan,389,2020-04-06
Queens,Queens,11660,2020-04-06
Queens,Staten Island,53,2020-04-06
Staten Island,Bronx,42,2020-04-06
Staten Island,Brooklyn,351,2020-04-06
Staten Island,Manhattan,111,2020-04-06
Staten Island,Queens,81,2020-04-06
Staten Island,Staten Island,10346,2020-04-06
