destination,origin,visitor_home_aggregation,end
Bronx,Bronx,31006,2019-03-25
Bronx,Brooklyn,4742,2019-03-25
Bronx,Manhattan,3460,2019-03-25
Bronx,Queens,3016,2019-03-25
Bronx,Staten Island,368,2019-03-25
Brooklyn,Bronx,2551,2019-03-25
Brooklyn,Brooklyn,34214,2019-03-25
Brooklyn,Manhattan,1701,2019-03-25
Brooklyn,Queens,5220,2019-03-25
Brooklyn,Staten Island,1718,2019-03-25
Manhattan,Bronx,89126,2019-03-25
Manhattan,Brooklyn,114133,2019-03-25
Manhattan,Manhattan,246561,2019-03-25
Manhattan,Queens,105294,2019-03-25
Manhattan,Staten Island,18426,2019-03-25
Queens,Bronx,657,2019-03-25
Queens,Brooklyn,2282,2019-03-25
Queens,Manhattan,652,2019-03-25
Queens,Queens,20007,2019-03-25
Queens,Staten Island,140,2019-03-25
Staten Island,Bronx,148,2019-03-25
Staten Island,Brooklyn,756,2019-03-25
Staten Island,Manhattan,142,2019-03-25
Staten Island,Queens,239,2019-03-25
Staten Island,Staten Island,18830,2019-03-25
