destination,origin,visitor_home_aggregation,end
Bronx,Bronx,23112,2021-06-14
Bronx,Brooklyn,6170,2021-06-14
Bronx,Manhattan,3089,2021-06-14
Bronx,Queens,3310,2021-06-14
Bronx,Staten Island,593,2021-06-14
Brooklyn,Bronx,1160,2021-06-14
Brooklyn,Brooklyn,29195,2021-06-14
Brooklyn,Manhattan,1214,2021-06-14
Brooklyn,Queens,3382,2021-06-14
Brooklyn,Staten Island,1700,2021-06-14
Manhattan,Bronx,31491,2021-06-14
Manhattan,Brooklyn,40246,2021-06-14
Manhattan,Manhattan,108866,2021-06-14
Manhattan,Queens,45122,2021-06-14
Manhattan,Staten Island,8577,2021-06-14
Queens,Bronx,359,2021-06-14
Queens,Brooklyn,1707,2021-06-14
Queens,Manhattan,393,2021-06-14
Queens,Queens,18900,2021-06-14
Queens,Staten Island,165,2021-06-14
Staten Island,Bronx,66,2021-06-14
Staten Island,Brooklyn,802,2021-06-14
Staten Island,Manhattan,88,2021-06-14
Staten Island,Queens,181,2021-06-14
Staten Island,Staten Island,21756,2021-06-14
