destination,origin,visitor_home_aggregation,end
Bronx,Bronx,20855,2020-12-07
Bronx,Brooklyn,2952,2020-12-07
Bronx,Manhattan,4913,2020-12-07
Bronx,Queens,2854,2020-12-07
Bronx,Staten Island,492,2020-12-07
Brooklyn,Bronx,2313,2020-12-07
Brooklyn,Brooklyn,21536,2020-12-07
Brooklyn,Manhattan,956,2020-12-07
Brooklyn,Queens,2390,2020-12-07
Brooklyn,Staten Island,986,2020-12-07
Manhattan,Bronx,27295,2020-12-07
Manhattan,Brooklyn,34587,2020-12-07
Manhattan,Manhattan,96996,2020-12-07
Manhattan,Queens,38560,2020-12-07
Manhattan,Staten Island,6654,2020-12-07
Queens,Bronx,237,2020-12-07
Queens,Brooklyn,1018,2020-12-07
Queens,Manhattan,324,2020-12-07
Queens,Queens,12876,2020-12-07
Queens,Staten Island,80,2020-12-07
Staten Island,Bronx,58,2020-12-07
Staten Island,Brooklyn,612,2020-12-07
Staten Island,Manhattan,56,2020-12-07
Staten Island,Queens,125,2020-12-07
Staten Island,Staten Island,16409,2020-12-07
