destination,origin,visitor_home_aggregation,end
Bronx,Bronx,17581,2020-05-04
Bronx,Brooklyn,1708,2020-05-04
Bronx,Manhattan,1710,2020-05-04
Bronx,Queens,1193,2020-05-04
Bronx,Staten Island,195,2020-05-04
Brooklyn,Bronx,1232,2020-05-04
Brooklyn,Brooklyn,21353,2020-05-04
Brooklyn,Manhattan,713,2020-05-04
Brooklyn,Queens,2254,2020-05-04
Brooklyn,Staten Island,876,2020-05-04
Manhattan,Bronx,24206,2020-05-04
Manhattan,Brooklyn,19887,2020-05-04
Manhattan,Manhattan,81624,2020-05-04
Manhattan,Queens,18824,2020-05-04
Manhattan,Staten Island,3871,2020-05-04
Queens,Bronx,210,2020-05-04
Queens,Brooklyn,1026,2020-05-04
Queens,Manhattan,300,2020-05-04
Queens,Queens,12923,2020-05-04
Queens,Staten Island,68,2020-05-04
Staten Island,Bronx,67,2020-05-04
Staten Island,Brooklyn,527,2020-05-04
Staten Island,Manhattan,62,2020-05-04
Staten Island,Queens,120,2020-05-04
Staten Island,Staten Island,12865,2020-05-04
