destination,origin,visitor_home_aggregation,end
Bronx,Bronx,21559,2020-10-19
Bronx,Brooklyn,2739,2020-10-19
Bronx,Manhattan,5138,2020-10-19
Bronx,Queens,2813,2020-10-19
Bronx,Staten Island,507,2020-10-19
Brooklyn,Bronx,720,2020-10-19
Brooklyn,Brooklyn,26095,2020-10-19
Brooklyn,Manhattan,2400,2020-10-19
Brooklyn,Queens,3105,2020-10-19
Brooklyn,Staten Island,1409,2020-10-19
Manhattan,Bronx,34839,2020-10-19
Manhattan,Brooklyn,41088,2020-10-19
Manhattan,Manhattan,116772,2020-10-19
Manhattan,Queens,43680,2020-10-19
Manhattan,Staten Island,8449,2020-10-19
Queens,Bronx,364,2020-10-19
Queens,Brooklyn,1539,2020-10-19
Queens,Manhattan,468,2020-10-19
Queens,Queens,17027,2020-10-19
Queens,Staten Island,117,2020-10-19
Staten Island,Bronx,95,2020-10-19
Staten Island,Brooklyn,788,2020-10-19
Staten Island,Manhattan,126,2020-10-19
Staten Island,Queens,187,2020-10-19
Staten Island,Staten Island,21304,2020-10-19
