destination,origin,visitor_home_aggregation,end
Bronx,Bronx,13335,2021-03-08
Bronx,Brooklyn,808,2021-03-08
Bronx,Manhattan,1377,2021-03-08
Bronx,Queens,1389,2021-03-08
Bronx,Staten Island,175,2021-03-08
Brooklyn,Bronx,422,2021-03-08
Brooklyn,Brooklyn,18557,2021-03-08
Brooklyn,Manhattan,471,2021-03-08
Brooklyn,Queens,2430,2021-03-08
Brooklyn,Staten Island,1117,2021-03-08
Manhattan,Bronx,26326,2021-03-08
Manhattan,Brooklyn,33749,2021-03-08
Manhattan,Manhattan,88701,2021-03-08
Manhattan,Queens,38478,2021-03-08
Manhattan,Staten Island,7372,2021-03-08
Queens,Bronx,263,2021-03-08
Queens,Brooklyn,1111,2021-03-08
Queens,Manhattan,182,2021-03-08
Queens,Queens,11283,2021-03-08
Queens,Staten Island,65,2021-03-08
Staten Island,Bronx,64,2021-03-08
Staten Island,Brooklyn,559,2021-03-08
Staten Island,Manhattan,36,2021-03-08
Staten Island,Queens,172,2021-03-08
Staten Island,Staten Island,15937,2021-03-08
