destination,origin,visitor_home_aggregation,end
Bronx,Bronx,14609,2021-03-01
Bronx,Brooklyn,1098,2021-03-01
Bronx,Manhattan,1502,2021-03-01
Bronx,Queens,1877,2021-03-01
Bronx,Staten Island,260,2021-03-01
Brooklyn,Bronx,580,2021-03-01
Brooklyn,Brooklyn,19231,2021-03-01
Brooklyn,Manhattan,523,2021-03-01
Brooklyn,Queens,2452,2021-03-01
Brooklyn,Staten Island,1063,2021-03-01
Manhattan,Bronx,26011,2021-03-01
Manhattan,Brooklyn,32269,2021-03-01
Manhattan,Manhattan,80636,2021-03-01
Manhattan,Queens,38715,2021-03-01
Manhattan,Staten Island,7189,2021-03-01
Queens,Bronx,254,2021-03-01
Queens,Brooklyn,1147,2021-03-01
Queens,Manhattan,199,2021-03-01
Queens,Queens,11827,2021-03-01
Queens,Staten Island,72,2021-03-01
Staten Island,Bronx,50,2021-03-01
Staten Island,Brooklyn,611,2021-03-01
Staten Island,Manhattan,67,2021-03-01
Staten Island,Queens,138,2021-03-01
Staten Island,Staten Island,15263,2021-03-01
