destination,origin,visitor_home_aggregation,end
Bronx,Bronx,21895,2021-05-10
Bronx,Brooklyn,3361,2021-05-10
Bronx,Manhattan,3243,2021-05-10
Bronx,Queens,3207,2021-05-10
Bronx,Staten Island,596,2021-05-10
Brooklyn,Bronx,1115,2021-05-10
Brooklyn,Brooklyn,26632,2021-05-10
Brooklyn,Manhattan,1122,2021-05-10
Brooklyn,Queens,3029,2021-05-10
Brooklyn,Staten Island,1317,2021-05-10
Manhattan,Bronx,30215,2021-05-10
Manhattan,Brooklyn,37201,2021-05-10
Manhattan,Manhattan,105578,2021-05-10
Manhattan,Queens,41409,2021-05-10
Manhattan,Staten Island,7609,2021-05-10
Queens,Bronx,311,2021-05-10
Queens,Brooklyn,1382,2021-05-10
Queens,Manhattan,348,2021-05-10
Queens,Queens,17020,2021-05-10
Queens,Staten Island,88,2021-05-10
Staten Island,Bronx,73,2021-05-10
Staten Island,Brooklyn,786,2021-05-10
Staten Island,Manhattan,94,2021-05-10
Staten Island,Queens,211,2021-05-10
Staten Island,Staten Island,21735,2021-05-10
