destination,origin,visitor_home_aggregation,end
Bronx,Bronx,19204,2020-03-23
Bronx,Brooklyn,3019,2020-03-23
Bronx,Manhattan,2532,2020-03-23
Bronx,Queens,1590,2020-03-23
Bronx,Staten Island,225,2020-03-23
Brooklyn,Bronx,1035,2020-03-23
Brooklyn,Brooklyn,21988,2020-03-23
Brooklyn,Manhattan,1039,2020-03-23
Brooklyn,Queens,2965,2020-03-23
Brooklyn,Staten Island,1058,2020-03-23
Manhattan,Bronx,42634,2020-03-23
Manhattan,Brooklyn,35178,2020-03-23
Manhattan,Manhattan,85454,2020-03-23
Manhattan,Queens,37358,2020-03-23
Manhattan,Staten Island,6737,2020-03-23
Queens,Bronx,424,2020-03-23
Queens,Brooklyn,1145,2020-03-23
Queens,Manhattan,382,2020-03-23
Queens,Queens,13732,2020-03-23
Queens,Staten Island,117,2020-03-23
Staten Island,Bronx,60,2020-03-23
Staten Island,Brooklyn,467,2020-03-23
Staten Island,Manhattan,122,2020-03-23
Staten Island,Queens,167,2020-03-23
Staten Island,Staten Island,12080,2020-03-23
