destination,origin,visitor_home_aggregation,end
Bronx,Bronx,24630,2020-11-30
Bronx,Brooklyn,4169,2020-11-30
Bronx,Manhattan,7382,2020-11-30
Bronx,Queens,4244,2020-11-30
Bronx,Staten Island,789,2020-11-30
Brooklyn,Bronx,1085,2020-11-30
Brooklyn,Brooklyn,23215,2020-11-30
Brooklyn,Manhattan,1176,2020-11-30
Brooklyn,Queens,2518,2020-11-30
Brooklyn,Staten Island,983,2020-11-30
Manhattan,Bronx,25933,2020-11-30
Manhattan,Brooklyn,31522,2020-11-30
Manhattan,Manhattan,92361,2020-11-30
Manhattan,Queens,34509,2020-11-30
Manhattan,Staten Island,5945,2020-11-30
Queens,Bronx,299,2020-11-30
Queens,Brooklyn,922,2020-11-30
Queens,Manhattan,471,2020-11-30
Queens,Queens,14325,2020-11-30
Queens,Staten Island,70,2020-11-30
Staten Island,Bronx,92,2020-11-30
Staten Island,Brooklyn,682,2020-11-30
Staten Island,Manhattan,94,2020-11-30
Staten Island,Queens,168,2020-11-30
Staten Island,Staten Island,17412,2020-11-30
