destination,origin,visitor_home_aggregation,end
Bronx,Bronx,20540,2020-01-20
Bronx,Brooklyn,1211,2020-01-20
Bronx,Manhattan,1848,2020-01-20
Bronx,Queens,1269,2020-01-20
Bronx,Staten Island,161,2020-01-20
Brooklyn,Bronx,905,2020-01-20
Brooklyn,Brooklyn,27629,2020-01-20
Brooklyn,Manhattan,1065,2020-01-20
Brooklyn,Queens,4003,2020-01-20
Brooklyn,Staten Island,1475,2020-01-20
Manhattan,Bronx,70203,2020-01-20
Manhattan,Brooklyn,92086,2020-01-20
Manhattan,Manhattan,196734,2020-01-20
Manhattan,Queens,92884,2020-01-20
Manhattan,Staten Island,17005,2020-01-20
Queens,Bronx,462,2020-01-20
Queens,Brooklyn,1528,2020-01-20
Queens,Manhattan,503,2020-01-20
Queens,Queens,18134,2020-01-20
Queens,Staten Island,139,2020-01-20
Staten Island,Bronx,136,2020-01-20
Staten Island,Brooklyn,922,2020-01-20
Staten Island,Manhattan,170,2020-01-20
Staten Island,Queens,316,2020-01-20
Staten Island,Staten Island,18870,2020-01-20
