destination,origin,visitor_home_aggregation,end
Bronx,Bronx,24737,2020-06-01
Bronx,Brooklyn,4832,2020-06-01
Bronx,Manhattan,3880,2020-06-01
Bronx,Queens,3868,2020-06-01
Bronx,Staten Island,722,2020-06-01
Brooklyn,Bronx,1530,2020-06-01
Brooklyn,Brooklyn,26713,2020-06-01
Brooklyn,Manhattan,1180,2020-06-01
Brooklyn,Queens,3186,2020-06-01
Brooklyn,Staten Island,1147,2020-06-01
Manhattan,Bronx,31816,2020-06-01
Manhattan,Brooklyn,25268,2020-06-01
Manhattan,Manhattan,83314,2020-06-01
Manhattan,Queens,25818,2020-06-01
Manhattan,Staten Island,4570,2020-06-01
Queens,Bronx,289,2020-06-01
Queens,Brooklyn,1381,2020-06-01
Queens,Manhattan,418,2020-06-01
Queens,Queens,17502,2020-06-01
Queens,Staten Island,81,2020-06-01
Staten Island,Bronx,81,2020-06-01
Staten Island,Brooklyn,850,2020-06-01
Staten Island,Manhattan,77,2020-06-01
Staten Island,Queens,160,2020-06-01
Staten Island,Staten Island,17040,2020-06-01
