destination,origin,visitor_home_aggregation,end
Bronx,Bronx,17411,2020-12-28
Bronx,Brooklyn,827,2020-12-28
Bronx,Manhattan,2076,2020-12-28
Bronx,Queens,1286,2020-12-28
Bronx,Staten Island,170,2020-12-28
Brooklyn,Bronx,2826,2020-12-28
Brooklyn,Brooklyn,21730,2020-12-28
Brooklyn,Manhattan,1789,2020-12-28
Brooklyn,Queens,3172,2020-12-28
Brooklyn,Staten Island,1171,2020-12-28
Manhattan,Bronx,23489,2020-12-28
Manhattan,Brooklyn,29047,2020-12-28
Manhattan,Manhattan,75834,2020-12-28
Manhattan,Queens,32498,2020-12-28
Manhattan,Staten Island,5735,2020-12-28
Queens,Bronx,230,2020-12-28
Queens,Brooklyn,1025,2020-12-28
Queens,Manhattan,289,2020-12-28
Queens,Queens,12522,2020-12-28
Queens,Staten Island,86,2020-12-28
Staten Island,Bronx,92,2020-12-28
Staten Island,Brooklyn,691,2020-12-28
Staten Island,Manhattan,114,2020-12-28
Staten Island,Queens,138,2020-12-28
Staten Island,Staten Island,16357,2020-12-28
