destination,origin,visitor_home_aggregation,end
Bronx,Bronx,18508,2020-12-21
Bronx,Brooklyn,1671,2020-12-21
Bronx,Manhattan,2993,2020-12-21
Bronx,Queens,1947,2020-12-21
Bronx,Staten Island,268,2020-12-21
Brooklyn,Bronx,795,2020-12-21
Brooklyn,Brooklyn,21731,2020-12-21
Brooklyn,Manhattan,2006,2020-12-21
Brooklyn,Queens,2341,2020-12-21
Brooklyn,Staten Island,1057,2020-12-21
Manhattan,Bronx,24382,2020-12-21
Manhattan,Brooklyn,31262,2020-12-21
Manhattan,Manhattan,87500,2020-12-21
Manhattan,Queens,33789,2020-12-21
Manhattan,Staten Island,6612,2020-12-21
Queens,Bronx,241,2020-12-21
Queens,Brooklyn,965,2020-12-21
Queens,Manhattan,310,2020-12-21
Queens,Queens,13266,2020-12-21
Queens,Staten Island,59,2020-12-21
Staten Island,Bronx,101,2020-12-21
Staten Island,Brooklyn,592,2020-12-21
Staten Island,Manhattan,143,2020-12-21
Staten Island,Queens,102,2020-12-21
Staten Island,Staten Island,16135,2020-12-21
