destination,origin,visitor_home_aggregation,end
Bronx,Bronx,35767,2019-02-04
Bronx,Brooklyn,4983,2019-02-04
Bronx,Manhattan,3612,2019-02-04
Bronx,Queens,2787,2019-02-04
Bronx,Staten Island,334,2019-02-04
Brooklyn,Bronx,1802,2019-02-04
Brooklyn,Brooklyn,35945,2019-02-04
Brooklyn,Manhattan,1570,2019-02-04
Brooklyn,Queens,4986,2019-02-04
Brooklyn,Staten Island,1445,2019-02-04
Manhattan,Bronx,100794,2019-02-04
Manhattan,Brooklyn,123233,2019-02-04
Manhattan,Manhattan,320344,2019-02-04
Manhattan,Queens,116164,2019-02-04
Manhattan,Staten Island,19558,2019-02-04
Queens,Bronx,654,2019-02-04
Queens,Brooklyn,2291,2019-02-04
Queens,Manhattan,483,2019-02-04
Queens,Queens,20207,2019-02-04
Queens,Staten Island,136,2019-02-04
Staten Island,Bronx,125,2019-02-04
Staten Island,Brooklyn,761,2019-02-04
Staten Island,Manhattan,146,2019-02-04
Staten Island,Queens,158,2019-02-04
Staten Island,Staten Island,18936,2019-02-04
