destination,origin,visitor_home_aggregation,end
Bronx,Bronx,35606,2020-03-09
Bronx,Brooklyn,4211,2020-03-09
Bronx,Manhattan,3508,2020-03-09
Bronx,Queens,2517,2020-03-09
Bronx,Staten Island,418,2020-03-09
Brooklyn,Bronx,2783,2020-03-09
Brooklyn,Brooklyn,46766,2020-03-09
Brooklyn,Manhattan,2548,2020-03-09
Brooklyn,Queens,6906,2020-03-09
Brooklyn,Staten Island,2462,2020-03-09
Manhattan,Bronx,100267,2020-03-09
Manhattan,Brooklyn,107361,2020-03-09
Manhattan,Manhattan,258784,2020-03-09
Manhattan,Queens,107443,2020-03-09
Manhattan,Staten Island,19774,2020-03-09
Queens,Bronx,696,2020-03-09
Queens,Brooklyn,2317,2020-03-09
Queens,Manhattan,869,2020-03-09
Queens,Queens,29487,2020-03-09
Queens,Staten Island,203,2020-03-09
Staten Island,Bronx,110,2020-03-09
Staten Island,Brooklyn,1037,2020-03-09
Staten Island,Manhattan,271,2020-03-09
Staten Island,Queens,248,2020-03-09
Staten Island,Staten Island,26867,2020-03-09
