destination,origin,visitor_home_aggregation,end
Bronx,Bronx,33542,2019-04-08
Bronx,Brooklyn,3302,2019-04-08
Bronx,Manhattan,3635,2019-04-08
Bronx,Queens,2906,2019-04-08
Bronx,Staten Island,330,2019-04-08
Brooklyn,Bronx,2252,2019-04-08
Brooklyn,Brooklyn,39045,2019-04-08
Brooklyn,Manhattan,1806,2019-04-08
Brooklyn,Queens,5458,2019-04-08
Brooklyn,Staten Island,1823,2019-04-08
Manhattan,Bronx,101111,2019-04-08
Manhattan,Brooklyn,126942,2019-04-08
Manhattan,Manhattan,317279,2019-04-08
Manhattan,Queens,115650,2019-04-08
Manhattan,Staten Island,19951,2019-04-08
Queens,Bronx,876,2019-04-08
Queens,Brooklyn,3044,2019-04-08
Queens,Manhattan,688,2019-04-08
Queens,Queens,23679,2019-04-08
Queens,Staten Island,240,2019-04-08
Staten Island,Bronx,83,2019-04-08
Staten Island,Brooklyn,1029,2019-04-08
Staten Island,Manhattan,177,2019-04-08
Staten Island,Queens,171,2019-04-08
Staten Island,Staten Island,21502,2019-04-08
