destination,origin,visitor_home_aggregation,end
Bronx,Bronx,41476,2019-03-04
Bronx,Brooklyn,5541,2019-03-04
Bronx,Manhattan,3876,2019-03-04
Bronx,Queens,3138,2019-03-04
Bronx,Staten Island,378,2019-03-04
Brooklyn,Bronx,3680,2019-03-04
Brooklyn,Brooklyn,41442,2019-03-04
Brooklyn,Manhattan,2004,2019-03-04
Brooklyn,Queens,5736,2019-03-04
Brooklyn,Staten Island,1719,2019-03-04
Manhattan,Bronx,98281,2019-03-04
Manhattan,Brooklyn,121659,2019-03-04
Manhattan,Manhattan,333998,2019-03-04
Manhattan,Queens,111441,2019-03-04
Manhattan,Staten Island,18944,2019-03-04
Queens,Bronx,1548,2019-03-04
Queens,Brooklyn,3284,2019-03-04
Queens,Manhattan,713,2019-03-04
Queens,Queens,21963,2019-03-04
Queens,Staten Island,199,2019-03-04
Staten Island,Bronx,157,2019-03-04
Staten Island,Brooklyn,929,2019-03-04
Staten Island,Manhattan,200,2019-03-04
Staten Island,Queens,254,2019-03-04
Staten Island,Staten Island,19383,2019-03-04
