destination,origin,visitor_home_aggregation,end
Bronx,Bronx,28433,2020-08-10
Bronx,Brooklyn,2446,2020-08-10
Bronx,Manhattan,3638,2020-08-10
Bronx,Queens,2583,2020-08-10
Bronx,Staten Island,423,2020-08-10
Brooklyn,Bronx,1155,2020-08-10
Brooklyn,Brooklyn,33773,2020-08-10
Brooklyn,Manhattan,1331,2020-08-10
Brooklyn,Queens,3665,2020-08-10
Brooklyn,Staten Island,1459,2020-08-10
Manhattan,Bronx,39197,2020-08-10
Manhattan,Brooklyn,39428,2020-08-10
Manhattan,Manhattan,106580,2020-08-10
Manhattan,Queens,41325,2020-08-10
Manhattan,Staten Island,8071,2020-08-10
Queens,Bronx,411,2020-08-10
Queens,Brooklyn,1957,2020-08-10
Queens,Manhattan,600,2020-08-10
Queens,Queens,23896,2020-08-10
Queens,Staten Island,161,2020-08-10
Staten Island,Bronx,112,2020-08-10
Staten Island,Brooklyn,964,2020-08-10
Staten Island,Manhattan,127,2020-08-10
Staten Island,Queens,211,2020-08-10
Staten Island,Staten Island,21586,2020-08-10
