destination,origin,visitor_home_aggregation,end
Bronx,Bronx,23110,2020-11-16
Bronx,Brooklyn,3929,2020-11-16
Bronx,Manhattan,9717,2020-11-16
Bronx,Queens,3701,2020-11-16
Bronx,Staten Island,658,2020-11-16
Brooklyn,Bronx,1680,2020-11-16
Brooklyn,Brooklyn,25537,2020-11-16
Brooklyn,Manhattan,3042,2020-11-16
Brooklyn,Queens,3194,2020-11-16
Brooklyn,Staten Island,1240,2020-11-16
Manhattan,Bronx,32766,2020-11-16
Manhattan,Brooklyn,37889,2020-11-16
Manhattan,Manhattan,113235,2020-11-16
Manhattan,Queens,42192,2020-11-16
Manhattan,Staten Island,7755,2020-11-16
Queens,Bronx,317,2020-11-16
Queens,Brooklyn,1158,2020-11-16
Queens,Manhattan,379,2020-11-16
Queens,Queens,15729,2020-11-16
Queens,Staten Island,90,2020-11-16
Staten Island,Bronx,90,2020-11-16
Staten Island,Brooklyn,727,2020-11-16
Staten Island,Manhattan,118,2020-11-16
Staten Island,Queens,128,2020-11-16
Staten Island,Staten Island,20286,2020-11-16
