destination,origin,visitor_home_aggregation,end
Bronx,Bronx,24887,2019-01-21
Bronx,Brooklyn,3311,2019-01-21
Bronx,Manhattan,2703,2019-01-21
Bronx,Queens,2278,2019-01-21
Bronx,Staten Island,262,2019-01-21
Brooklyn,Bronx,2353,2019-01-21
Brooklyn,Brooklyn,28276,2019-01-21
Brooklyn,Manhattan,1666,2019-01-21
Brooklyn,Queens,4866,2019-01-21
Brooklyn,Staten Island,1544,2019-01-21
Manhattan,Bronx,88589,2019-01-21
Manhattan,Brooklyn,109984,2019-01-21
Manhattan,Manhattan,235376,2019-01-21
Manhattan,Queens,102369,2019-01-21
Manhattan,Staten Island,19055,2019-01-21
Queens,Bronx,542,2019-01-21
Queens,Brooklyn,1853,2019-01-21
Queens,Manhattan,478,2019-01-21
Queens,Queens,15339,2019-01-21
Queens,Staten Island,92,2019-01-21
Staten Island,Bronx,101,2019-01-21
Staten Island,Brooklyn,794,2019-01-21
Staten Island,Manhattan,191,2019-01-21
Staten Island,Queens,254,2019-01-21
Staten Island,Staten Island,16248,2019-01-21
