destination,origin,visitor_home_aggregation,end
Bronx,Bronx,16456,2021-02-08
Bronx,Brooklyn,2553,2021-02-08
Bronx,Manhattan,2677,2021-02-08
Bronx,Queens,2678,2021-02-08
Bronx,Staten Island,437,2021-02-08
Brooklyn,Bronx,1895,2021-02-08
Brooklyn,Brooklyn,17911,2021-02-08
Brooklyn,Manhattan,692,2021-02-08
Brooklyn,Queens,2744,2021-02-08
Brooklyn,Staten Island,986,2021-02-08
Manhattan,Bronx,20266,2021-02-08
Manhattan,Brooklyn,25050,2021-02-08
Manhattan,Manhattan,75285,2021-02-08
Manhattan,Queens,27087,2021-02-08
Manhattan,Staten Island,5466,2021-02-08
Queens,Bronx,220,2021-02-08
Queens,Brooklyn,774,2021-02-08
Queens,Manhattan,221,2021-02-08
Queens,Queens,10052,2021-02-08
Queens,Staten Island,40,2021-02-08
Staten Island,Bronx,48,2021-02-08
Staten Island,Brooklyn,451,2021-02-08
Staten Island,Manhattan,72,2021-02-08
Staten Island,Queens,78,2021-02-08
Staten Island,Staten Island,12387,2021-02-08
