destination,origin,visitor_home_aggregation,end
Bronx,Bronx,23965,2020-07-06
Bronx,Brooklyn,2690,2020-07-06
Bronx,Manhattan,3166,2020-07-06
Bronx,Queens,2682,2020-07-06
Bronx,Staten Island,478,2020-07-06
Brooklyn,Bronx,976,2020-07-06
Brooklyn,Brooklyn,27995,2020-07-06
Brooklyn,Manhattan,985,2020-07-06
Brooklyn,Queens,3251,2020-07-06
Brooklyn,Staten Island,1216,2020-07-06
Manhattan,Bronx,37588,2020-07-06
Manhattan,Brooklyn,33672,2020-07-06
Manhattan,Manhattan,90509,2020-07-06
Manhattan,Queens,34806,2020-07-06
Manhattan,Staten Island,6840,2020-07-06
Queens,Bronx,517,2020-07-06
Queens,Brooklyn,1847,2020-07-06
Queens,Manhattan,442,2020-07-06
Queens,Queens,19750,2020-07-06
Queens,Staten Island,200,2020-07-06
Staten Island,Bronx,132,2020-07-06
Staten Island,Brooklyn,923,2020-07-06
Staten Island,Manhattan,98,2020-07-06
Staten Island,Queens,249,2020-07-06
Staten Island,Staten Island,19671,2020-07-06
