destination,origin,visitor_home_aggregation,end
Bronx,Bronx,34837,2019-04-29
Bronx,Brooklyn,9068,2019-04-29
Bronx,Manhattan,4825,2019-04-29
Bronx,Queens,5297,2019-04-29
Bronx,Staten Island,704,2019-04-29
Brooklyn,Bronx,2717,2019-04-29
Brooklyn,Brooklyn,34364,2019-04-29
Brooklyn,Manhattan,1877,2019-04-29
Brooklyn,Queens,5386,2019-04-29
Brooklyn,Staten Island,1591,2019-04-29
Manhattan,Bronx,91627,2019-04-29
Manhattan,Brooklyn,114472,2019-04-29
Manhattan,Manhattan,269333,2019-04-29
Manhattan,Queens,110885,2019-04-29
Manhattan,Staten Island,19550,2019-04-29
Queens,Bronx,758,2019-04-29
Queens,Brooklyn,2499,2019-04-29
Queens,Manhattan,581,2019-04-29
Queens,Queens,20880,2019-04-29
Queens,Staten Island,156,2019-04-29
Staten Island,Bronx,132,2019-04-29
Staten Island,Brooklyn,1005,2019-04-29
Staten Island,Manhattan,172,2019-04-29
Staten Island,Queens,294,2019-04-29
Staten Island,Staten Island,19276,2019-04-29
