destination,origin,visitor_home_aggregation,end
Bronx,Bronx,17668,2021-04-05
Bronx,Brooklyn,1538,2021-04-05
Bronx,Manhattan,2408,2021-04-05
Bronx,Queens,2049,2021-04-05
Bronx,Staten Island,270,2021-04-05
Brooklyn,Bronx,1635,2021-04-05
Brooklyn,Brooklyn,23604,2021-04-05
Brooklyn,Manhattan,858,2021-04-05
Brooklyn,Queens,3137,2021-04-05
Brooklyn,Staten Island,1420,2021-04-05
Manhattan,Bronx,27825,2021-04-05
Manhattan,Brooklyn,37041,2021-04-05
Manhattan,Manhattan,90702,2021-04-05
Manhattan,Queens,42689,2021-04-05
Manhattan,Staten Island,8438,2021-04-05
Queens,Bronx,268,2021-04-05
Queens,Brooklyn,1299,2021-04-05
Queens,Manhattan,243,2021-04-05
Queens,Queens,15056,2021-04-05
Queens,Staten Island,122,2021-04-05
Staten Island,Bronx,64,2021-04-05
Staten Island,Brooklyn,813,2021-04-05
Staten Island,Manhattan,102,2021-04-05
Staten Island,Queens,187,2021-04-05
Staten Island,Staten Island,19115,2021-04-05
