destination,origin,visitor_home_aggregation,end
Bronx,Bronx,17036,2020-09-28
Bronx,Brooklyn,1297,2020-09-28
Bronx,Manhattan,2364,2020-09-28
Bronx,Queens,1536,2020-09-28
Bronx,Staten Island,259,2020-09-28
Brooklyn,Bronx,523,2020-09-28
Brooklyn,Brooklyn,25040,2020-09-28
Brooklyn,Manhattan,882,2020-09-28
Brooklyn,Queens,2807,2020-09-28
Brooklyn,Staten Island,1324,2020-09-28
Manhattan,Bronx,36131,2020-09-28
Manhattan,Brooklyn,39524,2020-09-28
Manhattan,Manhattan,102565,2020-09-28
Manhattan,Queens,42803,2020-09-28
Manhattan,Staten Island,8038,2020-09-28
Queens,Bronx,388,2020-09-28
Queens,Brooklyn,1535,2020-09-28
Queens,Manhattan,307,2020-09-28
Queens,Queens,16568,2020-09-28
Queens,Staten Island,113,2020-09-28
Staten Island,Bronx,81,2020-09-28
Staten Island,Brooklyn,857,2020-09-28
Staten Island,Manhattan,94,2020-09-28
Staten Island,Queens,180,2020-09-28
Staten Island,Staten Island,19868,2020-09-28
