destination,origin,visitor_home_aggregation,end
Bronx,Bronx,20160,2021-05-31
Bronx,Brooklyn,2529,2021-05-31
Bronx,Manhattan,2978,2021-05-31
Bronx,Queens,2751,2021-05-31
Bronx,Staten Island,475,2021-05-31
Brooklyn,Bronx,2680,2021-05-31
Brooklyn,Brooklyn,28878,2021-05-31
Brooklyn,Manhattan,1375,2021-05-31
Brooklyn,Queens,3481,2021-05-31
Brooklyn,Staten Island,1471,2021-05-31
Manhattan,Bronx,29205,2021-05-31
Manhattan,Brooklyn,37658,2021-05-31
Manhattan,Manhattan,100305,2021-05-31
Manhattan,Queens,41830,2021-05-31
Manhattan,Staten Island,7967,2021-05-31
Queens,Bronx,271,2021-05-31
Queens,Brooklyn,1475,2021-05-31
Queens,Manhattan,320,2021-05-31
Queens,Queens,16871,2021-05-31
Queens,Staten Island,54,2021-05-31
Staten Island,Bronx,73,2021-05-31
Staten Island,Brooklyn,723,2021-05-31
Staten Island,Manhattan,102,2021-05-31
Staten Island,Queens,204,2021-05-31
Staten Island,Staten Island,21026,2021-05-31
