destination,origin,visitor_home_aggregation,end
Bronx,Bronx,24014,2020-09-14
Bronx,Brooklyn,3773,2020-09-14
Bronx,Manhattan,5059,2020-09-14
Bronx,Queens,3103,2020-09-14
Bronx,Staten Island,548,2020-09-14
Brooklyn,Bronx,997,2020-09-14
Brooklyn,Brooklyn,29697,2020-09-14
Brooklyn,Manhattan,1481,2020-09-14
Brooklyn,Queens,3466,2020-09-14
Brooklyn,Staten Island,1447,2020-09-14
Manhattan,Bronx,36967,2020-09-14
Manhattan,Brooklyn,40085,2020-09-14
Manhattan,Manhattan,115668,2020-09-14
Manhattan,Queens,43198,2020-09-14
Manhattan,Staten Island,8592,2020-09-14
Queens,Bronx,318,2020-09-14
Queens,Brooklyn,1741,2020-09-14
Queens,Manhattan,503,2020-09-14
Queens,Queens,20380,2020-09-14
Queens,Staten Island,115,2020-09-14
Staten Island,Bronx,60,2020-09-14
Staten Island,Brooklyn,938,2020-09-14
Staten Island,Manhattan,181,2020-09-14
Staten Island,Queens,149,2020-09-14
Staten Island,Staten Island,22063,2020-09-14
