destination,origin,visitor_home_aggregation,end
Bronx,Bronx,24349,2019-01-28
Bronx,Brooklyn,3810,2019-01-28
Bronx,Manhattan,2839,2019-01-28
Bronx,Queens,2481,2019-01-28
Bronx,Staten Island,333,2019-01-28
Brooklyn,Bronx,1877,2019-01-28
Brooklyn,Brooklyn,26684,2019-01-28
Brooklyn,Manhattan,1515,2019-01-28
Brooklyn,Queens,4537,2019-01-28
Brooklyn,Staten Island,1356,2019-01-28
Manhattan,Bronx,82184,2019-01-28
Manhattan,Brooklyn,100844,2019-01-28
Manhattan,Manhattan,230457,2019-01-28
Manhattan,Queens,96535,2019-01-28
Manhattan,Staten Island,17048,2019-01-28
Queens,Bronx,471,2019-01-28
Queens,Brooklyn,2017,2019-01-28
Queens,Manhattan,373,2019-01-28
Queens,Queens,15088,2019-01-28
Queens,Staten Island,111,2019-01-28
Staten Island,Bronx,93,2019-01-28
Staten Island,Brooklyn,731,2019-01-28
Staten Island,Manhattan,147,2019-01-28
Staten Island,Queens,199,2019-01-28
Staten Island,Staten Island,15757,2019-01-28
