destination,origin,visitor_home_aggregation,end
Bronx,Bronx,28026,2020-08-24
Bronx,Brooklyn,6045,2020-08-24
Bronx,Manhattan,5229,2020-08-24
Bronx,Queens,4944,2020-08-24
Bronx,Staten Island,861,2020-08-24
Brooklyn,Bronx,1561,2020-08-24
Brooklyn,Brooklyn,32277,2020-08-24
Brooklyn,Manhattan,2169,2020-08-24
Brooklyn,Queens,3855,2020-08-24
Brooklyn,Staten Island,1412,2020-08-24
Manhattan,Bronx,40756,2020-08-24
Manhattan,Brooklyn,41363,2020-08-24
Manhattan,Manhattan,108369,2020-08-24
Manhattan,Queens,43985,2020-08-24
Manhattan,Staten Island,8441,2020-08-24
Queens,Bronx,380,2020-08-24
Queens,Brooklyn,1926,2020-08-24
Queens,Manhattan,618,2020-08-24
Queens,Queens,22028,2020-08-24
Queens,Staten Island,178,2020-08-24
Staten Island,Bronx,119,2020-08-24
Staten Island,Brooklyn,1083,2020-08-24
Staten Island,Manhattan,104,2020-08-24
Staten Island,Queens,198,2020-08-24
Staten Island,Staten Island,21204,2020-08-24
