CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
3,0.8571428571428571,0.0,2.0,0.0,0.0,0.0,1.0,0,0.42857142857142855,0.0,2.0,0.0,0.0,0.0,1.0,-8.0,-3.0,-18.0,-4.0,-1.0,3.0
1,0.5714285714285714,0.0,2.0,1.0,0.0,0.0,0.0,0,0.42857142857142855,0.0,2.0,1.0,0.0,0.0,0.0,-4.0,-2.0,-10.0,-5.0,4.0,1.0
1,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.0,-10.0,-3.0,2.0,1.0
0,0.2857142857142857,2.0,0.0,0.0,0.0,0.0,0.0,0,0.2857142857142857,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,20.0,9.0,6.0,-1.0
2,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0,0.7142857142857143,1.0,3.0,1.0,0.0,0.0,0.0,10.0,10.0,30.0,7.0,6.0,0.0
1,0.8571428571428571,3.0,0.0,2.0,0.0,0.0,0.0,0,0.7142857142857143,3.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,8.0,-2.0,7.0,0.0
3,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.5714285714285714,1.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,27.0,-2.0,6.0,0.0
1,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,26.0,3.0,7.0,0.0
3,0.7142857142857143,0.0,2.0,0.0,0.0,0.0,0.0,0,0.2857142857142857,0.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,41.0,4.0,0.0,-1.0
5,1.7142857142857142,2.0,1.0,3.0,1.0,0.0,0.0,0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,11.0,8.0,58.0,3.0,2.0,0.0
6,1.7142857142857142,1.0,3.0,0.0,2.0,0.0,0.0,0,0.8571428571428571,1.0,3.0,0.0,2.0,0.0,0.0,-5.0,3.0,11.0,-4.0,0.0,0.0
6,1.8571428571428572,3.0,1.0,0.0,2.0,1.0,0.0,0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,6.0,85.0,-7.0,0.0,0.0
1,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,0.0,0,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,62.0,4.0,1.0,0.0
4,1.2857142857142858,3.0,0.0,2.0,0.0,0.0,0.0,0,0.7142857142857143,3.0,0.0,2.0,0.0,0.0,0.0,15.0,7.0,33.0,3.0,4.0,0.0
16,4.0,5.0,2.0,1.0,3.0,1.0,0.0,0,1.7142857142857142,5.0,2.0,1.0,3.0,1.0,0.0,10.0,9.0,70.0,0.0,2.0,1.0
24,5.142857142857143,6.0,1.0,3.0,0.0,2.0,0.0,0,1.7142857142857142,6.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0,34.0,-7.0,-3.0,2.0
10,3.2857142857142856,6.0,3.0,1.0,0.0,2.0,1.0,0,1.8571428571428572,6.0,3.0,1.0,0.0,2.0,1.0,7.0,8.0,84.0,-7.0,4.0,0.0
3,0.8571428571428571,1.0,1.0,1.0,0.0,0.0,0.0,0,0.42857142857142855,1.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,49.0,4.0,3.0,0.0
8,2.4285714285714284,4.0,3.0,0.0,2.0,0.0,0.0,0,1.2857142857142858,4.0,3.0,0.0,2.0,0.0,0.0,6.0,10.0,9.0,0.0,1.0,1.0
11,5.571428571428571,16.0,5.0,2.0,1.0,3.0,1.0,0,4.0,16.0,5.0,2.0,1.0,3.0,1.0,1.0,9.0,28.0,-4.0,-6.0,2.0
24,8.571428571428571,24.0,6.0,1.0,3.0,0.0,2.0,0,5.142857142857143,24.0,6.0,1.0,3.0,0.0,2.0,-6.0,7.0,12.0,-11.0,-7.0,4.0
24,6.571428571428571,10.0,6.0,3.0,1.0,0.0,2.0,0,3.142857142857143,10.0,6.0,3.0,1.0,0.0,2.0,4.0,10.0,33.0,-10.0,0.0,2.0
2,1.1428571428571428,3.0,1.0,1.0,1.0,0.0,0.0,0,0.8571428571428571,3.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,6.0,2.0,1.0,1.0
19,5.142857142857143,8.0,4.0,3.0,0.0,2.0,0.0,0,2.4285714285714284,8.0,4.0,3.0,0.0,2.0,0.0,7.0,10.0,14.0,-2.0,0.0,1.0
31,9.857142857142858,11.0,16.0,5.0,2.0,1.0,3.0,0,5.428571428571429,11.0,16.0,5.0,2.0,1.0,3.0,3.0,12.0,32.0,-6.0,-4.0,2.0
62,17.142857142857142,24.0,24.0,6.0,1.0,3.0,0.0,0,8.285714285714286,24.0,24.0,6.0,1.0,3.0,0.0,-10.0,7.0,9.0,-15.0,-12.0,5.0
40,12.0,24.0,10.0,6.0,3.0,1.0,0.0,1,6.428571428571429,24.0,10.0,6.0,3.0,1.0,0.0,5.0,12.0,38.0,-10.0,-1.0,2.0
