dropout,base_lr,max_epoch,weight_decay,train_loss,test_loss
0.01,1e-05,10000,0.005,0.079086654,0.09214424
0.01,1e-05,10000,0.01,0.082013555,0.08728028
0.01,1e-05,10000,0.05,0.09150171,0.08435559
0.01,0.0001,1000,0.0005,0.08059814,0.0993677
0.01,0.0001,1000,0.001,0.08250883,0.09673994
0.01,0.0001,1000,0.005,0.0866603,0.09766365
0.01,0.0001,1000,0.01,0.08278151,0.09452871
0.01,0.0001,1000,0.05,0.093274124,0.08173969
0.01,0.0001,10000,0.0005,0.05040148,0.08561579
0.01,0.0001,10000,0.001,0.052101653,0.0921399
0.01,0.0001,10000,0.005,0.059730742,0.08529719
0.01,0.0001,10000,0.01,0.06967892,0.08496893
0.01,0.0001,10000,0.05,0.09130961,0.0790965
0.01,0.001,1000,0.0005,0.05448842,0.08834311
0.01,0.001,1000,0.001,0.05488983,0.08654332
0.01,0.001,1000,0.005,0.062039986,0.0889942
0.01,0.001,1000,0.01,0.07498914,0.08572698
0.01,0.001,1000,0.05,0.09102582,0.07903505
0.01,0.001,10000,0.0005,0.03436905,0.09541104
0.01,0.001,10000,0.001,0.03846965,0.091006614
0.01,0.001,10000,0.005,0.057000462,0.08335043
0.01,0.001,10000,0.01,0.06667613,0.0869189
0.01,0.001,10000,0.05,0.091421366,0.079043426
0.01,0.01,1000,0.0005,0.044012237,0.082828484
0.01,0.01,1000,0.001,0.048520286,0.08936464
0.01,0.01,1000,0.005,0.061749745,0.08419851
0.01,0.01,1000,0.01,0.07144422,0.08658635
0.01,0.01,1000,0.05,0.091543235,0.07954157
0.01,0.01,10000,0.0005,0.034996085,0.08051434
0.01,0.01,10000,0.001,0.042121988,0.07794406
0.01,0.01,10000,0.005,0.061175406,0.08211629
0.01,0.01,10000,0.01,0.07281941,0.08660614
0.01,0.01,10000,0.05,0.09165949,0.07906339
0.1,1e-05,1000,0.0005,0.20658813,0.11986813
0.1,1e-05,1000,0.001,0.24151121,0.11745877
0.1,1e-05,1000,0.005,0.22349715,0.13981883
0.1,1e-05,1000,0.01,0.21243952,0.11896714
0.1,1e-05,1000,0.05,0.19709623,0.13547723
0.1,1e-05,10000,0.0005,0.096639805,0.09609234
0.1,1e-05,10000,0.001,0.09944406,0.092716955
0.1,1e-05,10000,0.005,0.099939786,0.091065474
0.1,1e-05,10000,0.01,0.09915817,0.086186945
0.1,1e-05,10000,0.05,0.09902328,0.08290128
0.1,0.0001,1000,0.0005,0.099969804,0.10160061
0.1,0.0001,1000,0.001,0.110225774,0.10226799
0.1,0.0001,1000,0.005,0.10867808,0.10224684
0.1,0.0001,1000,0.01,0.10268632,0.09946836
0.1,0.0001,1000,0.05,0.10853195,0.08504424
0.1,0.0001,10000,0.0005,0.05895424,0.08099153
0.1,0.0001,10000,0.001,0.06228,0.08257768
0.1,0.0001,10000,0.005,0.06816446,0.08200631
0.1,0.0001,10000,0.01,0.07644803,0.08197076
0.1,0.0001,10000,0.05,0.09127755,0.07894067
0.1,0.001,1000,0.0005,0.065422006,0.0828827
0.1,0.001,1000,0.001,0.066956274,0.08322967
0.1,0.001,1000,0.005,0.07291055,0.08274171
0.1,0.001,1000,0.01,0.08336867,0.08029002
0.1,0.001,1000,0.05,0.091283806,0.07911301
