CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
457,177.57142857142858,205.0,176.0,182.0,137.0,62.0,24.0,0,0.42857142857142855,2.0,1.0,0.0,0.0,0.0,0.0,-48.0,-4.0,-40.0,-48.0,-48.0,18.0
528,180.42857142857142,231.0,194.0,166.0,80.0,40.0,24.0,4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-15.0,29.0,-1.0,-34.0,-27.0,13.0
91,29.285714285714285,47.0,23.0,26.0,13.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,20.0,-10.0,-34.0,-26.0,12.0
343,140.0,305.0,119.0,86.0,79.0,29.0,19.0,1,0.7142857142857143,3.0,1.0,0.0,0.0,0.0,0.0,-22.0,18.0,-21.0,-31.0,-29.0,13.0
783,344.42857142857144,740.0,432.0,163.0,166.0,96.0,31.0,7,1.4285714285714286,2.0,0.0,1.0,0.0,0.0,0.0,-27.0,19.0,-2.0,-39.0,-37.0,17.0
567,255.14285714285714,457.0,205.0,176.0,182.0,137.0,62.0,0,0.42857142857142855,0.0,2.0,1.0,0.0,0.0,0.0,-61.0,-9.0,-40.0,-55.0,-55.0,21.0
650,269.85714285714283,528.0,231.0,194.0,166.0,80.0,40.0,3,1.4285714285714286,4.0,1.0,1.0,0.0,0.0,1.0,-26.0,24.0,12.0,-40.0,-35.0,17.0
108,44.42857142857143,91.0,47.0,23.0,26.0,13.0,3.0,1,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,9.0,-14.0,-42.0,-30.0,15.0
482,206.14285714285714,343.0,305.0,119.0,86.0,79.0,29.0,2,1.0,1.0,3.0,1.0,0.0,0.0,0.0,-21.0,13.0,-9.0,-33.0,-32.0,14.0
965,477.85714285714283,783.0,740.0,432.0,163.0,166.0,96.0,8,2.5714285714285716,7.0,2.0,0.0,1.0,0.0,0.0,-29.0,16.0,13.0,-42.0,-41.0,18.0
538,323.14285714285717,567.0,457.0,205.0,176.0,182.0,137.0,5,1.1428571428571428,0.0,0.0,2.0,1.0,0.0,0.0,-65.0,-15.0,-38.0,-59.0,-58.0,22.0
835,383.42857142857144,650.0,528.0,231.0,194.0,166.0,80.0,9,2.5714285714285716,3.0,4.0,1.0,1.0,0.0,0.0,-28.0,19.0,38.0,-44.0,-38.0,18.0
150,65.42857142857143,108.0,91.0,47.0,23.0,26.0,13.0,0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,-24.0,7.0,1.0,-44.0,-33.0,16.0
623,291.0,482.0,343.0,305.0,119.0,86.0,79.0,7,2.0,2.0,1.0,3.0,1.0,0.0,0.0,-29.0,5.0,-24.0,-38.0,-36.0,16.0
1204,636.1428571428571,965.0,783.0,740.0,432.0,163.0,166.0,6,3.4285714285714284,8.0,7.0,2.0,0.0,1.0,0.0,-36.0,3.0,-5.0,-46.0,-45.0,21.0
555,382.85714285714283,538.0,567.0,457.0,205.0,176.0,182.0,4,1.7142857142857142,5.0,0.0,0.0,2.0,1.0,0.0,-70.0,-25.0,-51.0,-63.0,-62.0,25.0
1065,524.1428571428571,835.0,650.0,528.0,231.0,194.0,166.0,6,3.4285714285714284,9.0,3.0,4.0,1.0,1.0,0.0,-36.0,5.0,5.0,-50.0,-43.0,22.0
258,100.42857142857143,150.0,108.0,91.0,47.0,23.0,26.0,4,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,-31.0,1.0,-16.0,-48.0,-38.0,18.0
723,383.0,623.0,482.0,343.0,305.0,119.0,86.0,13,3.857142857142857,7.0,2.0,1.0,3.0,1.0,0.0,-30.0,13.0,-8.0,-38.0,-40.0,18.0
1136,774.7142857142857,1204.0,965.0,783.0,740.0,432.0,163.0,10,4.857142857142857,6.0,8.0,7.0,2.0,0.0,1.0,-39.0,13.0,23.0,-46.0,-48.0,22.0
653,450.14285714285717,555.0,538.0,567.0,457.0,205.0,176.0,12,3.4285714285714284,4.0,5.0,0.0,0.0,2.0,1.0,-71.0,-21.0,-49.0,-64.0,-63.0,26.0
1185,669.7142857142857,1065.0,835.0,650.0,528.0,231.0,194.0,10,4.857142857142857,6.0,9.0,3.0,4.0,1.0,1.0,-36.0,17.0,40.0,-51.0,-47.0,23.0
310,141.0,258.0,150.0,108.0,91.0,47.0,23.0,4,1.2857142857142858,4.0,0.0,1.0,0.0,0.0,0.0,-32.0,7.0,10.0,-46.0,-42.0,21.0
491,440.85714285714283,723.0,623.0,482.0,343.0,305.0,119.0,14,5.857142857142857,13.0,7.0,2.0,1.0,3.0,1.0,-33.0,12.0,-10.0,-32.0,-31.0,13.0
554,830.5714285714286,1136.0,1204.0,965.0,783.0,740.0,432.0,14,6.714285714285714,10.0,6.0,8.0,7.0,2.0,0.0,-46.0,7.0,15.0,-45.0,-32.0,13.0
399,482.0,653.0,555.0,538.0,567.0,457.0,205.0,6,4.142857142857143,12.0,4.0,5.0,0.0,0.0,2.0,-76.0,-23.0,-51.0,-67.0,-41.0,15.0
947,777.2857142857143,1185.0,1065.0,835.0,650.0,528.0,231.0,14,6.714285714285714,10.0,6.0,9.0,3.0,4.0,1.0,-43.0,9.0,40.0,-51.0,-38.0,16.0
248,173.14285714285714,310.0,258.0,150.0,108.0,91.0,47.0,3,1.7142857142857142,4.0,4.0,0.0,1.0,0.0,0.0,-42.0,1.0,12.0,-41.0,-26.0,14.0
495,494.57142857142856,491.0,723.0,623.0,482.0,343.0,305.0,12,7.428571428571429,14.0,13.0,7.0,2.0,1.0,3.0,-50.0,-11.0,-29.0,-46.0,-39.0,13.0
