FIPS,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
36085,2020-03-07,4.0,8.0,26.0,3.0,7.0,0.0
36085,2020-03-08,6.0,4.0,62.0,4.0,1.0,0.0
36085,2020-03-09,9.0,6.0,49.0,4.0,3.0,0.0
36085,2020-03-10,3.0,6.0,6.0,2.0,1.0,1.0
36085,2020-03-11,6.0,9.0,14.0,-4.0,1.0,1.0
36085,2020-03-12,3.0,24.0,1.0,-9.0,-3.0,3.0
36085,2020-03-13,-4.0,24.0,11.0,-16.0,-9.0,6.0
36085,2020-03-14,-11.0,15.0,30.0,-13.0,-1.0,4.0
36085,2020-03-15,-13.0,8.0,42.0,-18.0,-6.0,5.0
36085,2020-03-16,-10.0,20.0,-10.0,-34.0,-26.0,12.0
36085,2020-03-17,-23.0,9.0,-14.0,-42.0,-30.0,15.0
36085,2020-03-18,-24.0,7.0,1.0,-44.0,-33.0,16.0
36085,2020-03-19,-31.0,1.0,-16.0,-48.0,-38.0,18.0
36085,2020-03-20,-32.0,7.0,10.0,-46.0,-42.0,21.0
36085,2020-03-21,-42.0,1.0,12.0,-41.0,-26.0,14.0
36085,2020-03-22,-50.0,-20.0,-14.0,-50.0,-32.0,14.0
36085,2020-03-23,-58.0,-37.0,-66.0,-66.0,-55.0,27.0
36085,2020-03-24,-43.0,-18.0,-7.0,-59.0,-55.0,25.0
36085,2020-03-25,-50.0,-25.0,-47.0,-64.0,-56.0,27.0
36085,2020-03-26,-45.0,-18.0,-1.0,-60.0,-57.0,26.0
36085,2020-03-27,-48.0,-18.0,1.0,-59.0,-57.0,28.0
36085,2020-03-28,-61.0,-27.0,-54.0,-60.0,-42.0,19.0
36085,2020-03-29,-59.0,-31.0,-48.0,-60.0,-42.0,17.0
36085,2020-03-30,-49.0,-25.0,-41.0,-64.0,-60.0,27.0
36085,2020-03-31,-49.0,-26.0,-40.0,-65.0,-62.0,28.0
36085,2020-04-01,-45.0,-19.0,-18.0,-64.0,-62.0,28.0
36085,2020-04-02,-47.0,-19.0,-29.0,-65.0,-63.0,29.0
36085,2020-04-03,-53.0,-21.0,-51.0,-66.0,-63.0,31.0
36085,2020-04-04,-56.0,-20.0,-10.0,-56.0,-48.0,20.0
36085,2020-04-05,-57.0,-28.0,-9.0,-58.0,-46.0,16.0
36085,2020-04-06,-48.0,-19.0,-7.0,-64.0,-64.0,28.0
36085,2020-04-07,-57.0,-4.0,-14.0,-65.0,-64.0,28.0
36085,2020-04-08,-60.0,-3.0,-22.0,-67.0,-65.0,29.0
36085,2020-04-09,-61.0,-7.0,-42.0,-69.0,-66.0,30.0
36085,2020-04-10,-63.0,-3.0,-51.0,-68.0,-67.0,32.0
36085,2020-04-11,-62.0,6.0,-9.0,-54.0,-48.0,19.0
36085,2020-04-12,-74.0,-36.0,-2.0,-56.0,-50.0,17.0
36085,2020-04-13,-70.0,-38.0,-57.0,-72.0,-65.0,31.0
36085,2020-04-14,-58.0,-17.0,-11.0,-63.0,-63.0,27.0
36085,2020-04-15,-58.0,-19.0,-20.0,-65.0,-63.0,28.0
36085,2020-04-16,-59.0,-17.0,-35.0,-66.0,-63.0,28.0
36085,2020-04-17,-62.0,-20.0,-39.0,-64.0,-62.0,30.0
36085,2020-04-18,-68.0,-23.0,-45.0,-57.0,-44.0,20.0
36085,2020-04-19,-62.0,-25.0,26.0,-52.0,-41.0,15.0
36085,2020-04-20,-59.0,-22.0,-26.0,-64.0,-61.0,27.0
36085,2020-04-21,-61.0,-26.0,-39.0,-67.0,-62.0,28.0
36085,2020-04-22,-58.0,-19.0,-23.0,-64.0,-61.0,28.0
36085,2020-04-23,-59.0,-19.0,-33.0,-65.0,-61.0,28.0
36085,2020-04-24,-65.0,-26.0,-57.0,-68.0,-61.0,31.0
36085,2020-04-25,-59.0,-13.0,38.0,-46.0,-40.0,16.0
36085,2020-04-26,-68.0,-33.0,-58.0,-59.0,-42.0,16.0
36085,2020-04-27,-58.0,-23.0,-41.0,-64.0,-59.0,27.0
36085,2020-04-28,-52.0,-14.0,31.0,-59.0,-59.0,19.0
36085,2020-04-29,-57.0,-22.0,-36.0,-65.0,-59.0,27.0
36085,2020-04-30,-58.0,-21.0,-42.0,-67.0,-60.0,28.0
36085,2020-05-01,-56.0,-15.0,-19.0,-62.0,-58.0,28.0
36085,2020-05-02,-53.0,-10.0,72.0,-43.0,-36.0,14.0
36085,2020-05-03,-54.0,-20.0,70.0,-46.0,-35.0,12.0
36085,2020-05-04,-49.0,-16.0,-4.0,-60.0,-56.0,24.0
36085,2020-05-05,-48.0,-12.0,6.0,-59.0,-57.0,24.0
36085,2020-05-06,-56.0,-20.0,-46.0,-65.0,-57.0,26.0
36085,2020-05-07,-50.0,-10.0,23.0,-58.0,-56.0,24.0
36085,2020-05-08,-57.0,-14.0,-40.0,-62.0,-56.0,27.0
36085,2020-05-09,-55.0,-5.0,-20.0,-51.0,-35.0,16.0
36085,2020-05-10,-50.0,-14.0,36.0,-44.0,-31.0,11.0
36085,2020-05-11,-54.0,-23.0,-23.0,-63.0,-55.0,24.0
36085,2020-05-12,-50.0,-15.0,-3.0,-59.0,-54.0,23.0
36085,2020-05-13,-47.0,-12.0,14.0,-60.0,-54.0,24.0
36085,2020-05-14,-47.0,-10.0,9.0,-59.0,-54.0,21.0
36085,2020-05-15,-48.0,-9.0,27.0,-56.0,-53.0,24.0
36085,2020-05-16,-50.0,-12.0,58.0,-42.0,-31.0,12.0
36085,2020-05-17,-50.0,-19.0,48.0,-45.0,-28.0,11.0
36085,2020-05-18,-45.0,-16.0,-2.0,-58.0,-52.0,22.0
36085,2020-05-19,-44.0,-12.0,-5.0,-57.0,-52.0,22.0
36085,2020-05-20,-44.0,-8.0,0.0,-58.0,-52.0,22.0
36085,2020-05-21,-42.0,-7.0,16.0,-56.0,-53.0,22.0
36085,2020-05-22,-47.0,-9.0,-5.0,-56.0,-52.0,23.0
36085,2020-05-23,-56.0,-15.0,-28.0,-52.0,-31.0,15.0
36085,2020-05-24,-47.0,-13.0,64.0,-40.0,-27.0,9.0
36085,2020-05-25,-50.0,-16.0,32.0,-67.0,-71.0,25.0
36085,2020-05-26,-43.0,-13.0,28.0,-54.0,-50.0,20.0
36085,2020-05-27,-41.0,-11.0,19.0,-55.0,-50.0,21.0
36085,2020-05-28,-43.0,-8.0,1.0,-54.0,-51.0,21.0
36085,2020-05-29,-46.0,-9.0,7.0,-53.0,-50.0,23.0
36085,2020-05-30,-47.0,-6.0,62.0,-38.0,-21.0,10.0
