ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00717,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,NARANJITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00720,41980,OROCOVIS,PR,0.997045305,1.000000000,1.000000000,0.997230343
00720,38660,OROCOVIS,PR,0.002954695,0.000000000,0.000000000,0.002769657
00721,41980,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,PATILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00725,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,CANOVANAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,41980,CEIBA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00737,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00738,41980,FAJARDO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,CIDRA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00740,41980,PUERTO REAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00741,41980,PUNTA SANTIAGO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00742,41980,ROOSEVELT ROADS,PR,0.000000000,0.000000000,1.000000000,1.000000000
00744,41980,RIO BLANCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00745,41980,RIO GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00751,17640,SALINAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00754,41980,SAN LORENZO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00757,17620,SANTA ISABEL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00765,99999,VIEQUES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,VILLALBA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00767,41980,YABUCOA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00769,17620,COAMO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00771,41980,LAS PIEDRAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00772,41980,LOIZA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00773,41980,LUQUILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00775,99999,CULEBRA,PR,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,JUNCOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
